rating,text,title,user.userLocation.name,user.userLocation.shortName,user.username,publishedDate,X,X.1,X.2,X.3,X.4,X.5,sentiment,year,nationality
4,Potatoes in all possible shapes and variations. Delicious sauces and a cucumber salad like grandma used to make. My tip: pirate herring as a topping for potatoes.,Great specialties,"Aachen, Germany",Aachen,aachenbenne,2017-01-16,,,,,,,pos,2017.0,Foreigner
4,"Great concept. Baked potatoes only! 
Very tasty and well made. 
We ate for dinner and it was a bit small, but for lunch it had been perfect. 
And the price was really good :)
Best cheap meal we had while in Gdansk. ",A lucky potato,"Aalborg, Denmark",Aalborg,peter-sperling,2018-09-15,,,,,,,pos,2018.0,Foreigner
5,Can honestly say these were the best spuds ever tasted. Absolutely delicious. Perfectly cooked and the fillings very generous. Bar downstairs was cool too!,Wow!,"Aberdeen, United Kingdom",Aberdeen,Martoon15000,2019-03-30,,,,,,,pos,2019.0,Foreigner
5,"We stumbled on this place after a few beers and were delighted that we did!!  Being Scots, we have an affection for potatoes in any form and this was about the best ever.  Gigantic, perfectly baked and salted potatoes with a mind boggling choice of fillings.  I opted for blue cheese, broccoli and Gorgonzola.  Unbelievably delicious and vast portions!!  I couldn’t finish mine though I did try very hard.....",The humble potato is elevated to new heights!!,"Aberdeen, United Kingdom",Aberdeen,FionaY68,2018-03-11,,,,,,,pos,2018.0,Foreigner
5,"Located in the busy Piwna ulica, the restaurant offers baked potato dishes that have made it famous in town. Accompaniments to fish, meat, raw vegetables... the possibilities are numerous. 
The plates are copious, and the prices are competitive: the dishes are offered in a range going from 20 to 28 zlotys (between 5 and 7 euros).
For beer lovers, there is a very interesting choice (nearly 10 references) and everything is local, since the regional brewery Browar Amber is on the menu.
I can only recommend this establishment!","A must-see, not to be missed!","Aix-en-Provence, France",Aix-en-Provence,ElKolejorz,2016-09-24,,,,,,,pos,2016.0,Foreigner
5,"Simple and effective Polish cuisine based on fish and potatoes: taste, extraordinary dishes.
Fast service.
Beers from the Amber brewery (Gdansk region) on the menu.
Very affordable prices.
All the elements come together for a great meal!",A restaurant that doesn't joke about quantities!,"Aix-en-Provence, France",Aix-en-Provence,Jyvais13,2016-09-22,,,,,,,pos,2016.0,Foreigner
5,"Restaurant is located in wonderful street, with nice terrace. Waitress was really professional, always with smile and speaking english and german very well. Food was better then my expectations. I really enjoyed my stay there and when I will in Gdansk, I will come back for sure. Thank you !!",Great food with good service,"Alesund, Norway",Alesund,lenickalauricka,2017-08-23,,,,,,,pos,2017.0,Foreigner
4,"You'd imagine a resturant based around the humble baked potato would be somewhat limited. Far from it.
The variety of fillings and sauces is enough to stimulate anyones tastebuds.
All 4 of us agreed these were the best baked/jacket potatos we'd ever tasted!
Add to that the beer and wine and really friendly service and you've got the perfect place for lunch when walking around old Gdańsk.
The locals don't seem to eat the potato skin. For me the crisp skin is the best bit, with all the goodness and the roughage! I think the staff must have thought we were either very hungry or heathens (or both!)",Baked potato heaven,"Alice Springs, Australia",Alice Springs,gwynw2017,2024-03-15,,,,,,,pos,2024.0,Foreigner
4,"I love a good baked potato and we had read about this restaurant in Gdansk and just had to try it out.
A typical local restaurant in Poland in the old town of Gdansk. One could just walk past here and if you are not aware of the place you may just walk by. Don't!
This restaurant serves the best (filled) potatoes I have ever eaten. There is a huge selection of fillings and at about €5 per serving, you certainly get your moneys, worth. 
I orderd a mushroom and gorgonzola filling and my wife a chees and bacon filling. Bothe were equally delicious. 
Don't underestimate this potato, it is a big meal that not many will be able to finish.
Great value for money, definately woth a visit","If you like baked potatoes, you must eat here","Alphen aan den Rijn, The Netherlands",Alphen aan den Rijn,ngrendex,2018-04-29,,,,,,,pos,2018.0,Foreigner
5,"Baked potato as the main dish with any filling (the list is long, so everyone should be satisfied). Personally, I recommend the standard one with bacon and cheese, it was delicious. The portion is huge, so you definitely won't be hungry by the end of the day!",Tasty and filling,"Alphen aan den Rijn, The Netherlands",Alphen aan den Rijn,Guma1221,2018-04-29,,,,,,,pos,2018.0,Foreigner
4,Many versions of stuffed potato. Many of which are without meat. Fills well for a good price.,50 times potato,"Amsterdam, The Netherlands",Amsterdam,Manfred020,2018-08-23,,,,,,,pos,2018.0,Foreigner
5,"If you eat anywhere it has to be here, this place has the most amazing jacket potato menu I have ever seen. It's very reasonable and very popular. A definite must.",Jacket spud !,"Ashton in Makerfield, United Kingdom",Ashton in Makerfield,Cheeky_m_94,2017-01-23,,,,,,,pos,2017.0,Foreigner
4,"Small place on Via Piwna in the historic center with a particular menu made of potatoes stuffed with all kinds of food.
Average price.
Advised ",Special menu...,"Avellino, Italy",Avellino,CirPic,2022-08-29,,,,,,,pos,2022.0,Foreigner
4,"A good down-to-earth meal at reasonable prices.
Service is good, young and dynamic - in keeping with the spirit of the city",Lunch,"Baesweiler, Germany",Baesweiler,lokipocki,2015-07-21,,,,,,,pos,2015.0,Foreigner
5,"Very good food, Polish-style potatoes are amazing, and local beer. I sincerely recommend it to everyone! Affordable prices",Very nice place,"Bangkok, Thailand",Bangkok,micha_b880,2017-08-18,,,,,,,pos,2017.0,Foreigner
3,Restaurant specializing in roast potatoes. A filling and sauce of your choice are added. It cost us 150 zlt for 4 people (a dish and a drink for each). Average but it doesn't kill. The friendly waitress.,potato restaurant,"Barcelona, Spain",Barcelona,noem_l664,2019-08-27,,,,,,,pos,2019.0,Foreigner
4,A fishy twist on the kind of food pubs you find in tourist areas all over Poland. Expect decent beer and big portions of simple food delivered to your table quickly.,"Simple food, big portions, good service","Bath, United Kingdom",Bath,DougScullery,2019-03-26,,,,,,,pos,2019.0,Foreigner
3,"Fish soup as if someone had never cooked it before... with only potatoes and the remains of salmon, unfortunately very weak... potatoes were good, portions were large, but the sauce was hot with lettuce that wilted from the heat. XD The sauce was really good, we didn't have to wait long and the service was great. nice. However, there is no reason to go back there just to eat the sauce :) ",Too much selection and therefore poor quality,"Bedzin, Poland",Bedzin,ankad2018,2020-08-05,,,,,,,pos,2020.0,Poland
